srcID,destID,airlineID,Source Airport,Source Country,Dest Airport,Source Country,Airline Name,Airline Country,Distance (km)
1555,1665,2297,FCO,Italy,GVA,Switzerland,EasyJet Airline,United Kingdom,695
1665,1555,2297,GVA,Switzerland,FCO,Italy,EasyJet Airline,United Kingdom,695
2897,1762,11741,CUR,Netherlands Antilles,SDQ,Dominican Republic,,Guadeloupe,698
1044,246,17094,BKO,Mali,OUA,Burkina Faso,,Senegal,699
246,1044,17094,OUA,Burkina Faso,BKO,Mali,,Senegal,699
1044,4162,10128,BKO,Mali,CKY,Guinea,Dennis Sky Holding,Israel,700
4162,1044,10128,CKY,Guinea,BKO,Mali,Dennis Sky Holding,Israel,700
302,1529,4559,BRU,Belgium,LIN,Italy,Swiss Airlines,Switzerland,703
1529,302,4559,LIN,Italy,BRU,Belgium,Swiss Airlines,Switzerland,703
1926,1771,18169,GCM,Cayman Islands,LCE,Honduras,,United States,704
1771,1926,18169,LCE,Honduras,GCM,Cayman Islands,,United States,704
1264,4053,2297,BOD,France,BSL,Switzerland,EasyJet Airline,United Kingdom,704
4053,1264,2297,BSL,Switzerland,BOD,France,EasyJet Airline,United Kingdom,704
580,1587,2297,AMS,Netherlands,PRG,Czech Republic,EasyJet Airline,United Kingdom,705
1587,580,2297,PRG,Czech Republic,AMS,Netherlands,EasyJet Airline,United Kingdom,705
253,245,17094,ABJ,Cote d'Ivoire,COO,Benin,,Senegal,709
245,253,17094,COO,Benin,ABJ,Cote d'Ivoire,,Senegal,709
253,245,16942,ABJ,Cote d'Ivoire,COO,Benin,,Mauritania,709
245,253,16942,COO,Benin,ABJ,Cote d'Ivoire,,Mauritania,709
245,253,1531,COO,Benin,ABJ,Cote d'Ivoire,SN Brussels Airlines,Belgium,709
